from_city;to_city;migration
ISTANBUL;ISTANBUL;866845
ANKARA;ANKARA;599389
SIVAS;ISTANBUL;482309
IZMIR;IZMIR;468412
KONYA;KONYA;433411
ADANA;ADANA;407128
KASTAMONU;ISTANBUL;363139
BURSA;BURSA;361483
DIYARBAKIR;DIYARBAKIR;338255
GIRESUN;ISTANBUL;318214
ORDU;ISTANBUL;310016
TOKAT;ISTANBUL;269422
KAYSERI;KAYSERI;267567
MERSIN;MERSIN;256426
SAMSUN;ISTANBUL;254651
GAZIANTEP;GAZIANTEP;253479
TRABZON;ISTANBUL;250997
MALATYA;ISTANBUL;240064
SINOP;ISTANBUL;235073
CORUM;ANKARA;211275
ERZINCAN;ISTANBUL;210607
ANTALYA;ANTALYA;209111
ERZURUM;ISTANBUL;206022
ERZURUM;ERZURUM;199039
RIZE;ISTANBUL;194874
YOZGAT;ANKARA;184900
ESKISEHIR;ESKISEHIR;181608
SAMSUN;SAMSUN;181513
AYDIN;AYDIN;157202
KARS;ISTANBUL;155196
DENIZLI;DENIZLI;146456
CANKIRI;ANKARA;145549
ARDAHAN;ISTANBUL;145077
MANISA;IZMIR;133579
HATAY;HATAY;128808
MALATYA;MALATYA;121737
BALIKESIR;BALIKESIR;120986
TRABZON;TRABZON;120741
SAKARYA;SAKARYA;119099
SANLIURFA;SANLIURFA;117062
KIRSEHIR;ANKARA;115036
AMASYA;ISTANBUL;107016
CANKIRI;ISTANBUL;105433
CORUM;ISTANBUL;105359
KOCAELI;KOCAELI;104816
KIRIKKALE;ANKARA;103744
MARDIN;MARDIN;101896
SIVAS;ANKARA;100503
SIIRT;ISTANBUL;97000
MARDIN;ISTANBUL;96189
KAYSERI;ISTANBUL;96061
DIYARBAKIR;ISTANBUL;94603
KONYA;ISTANBUL;93336
VAN;VAN;92591
SAKARYA;ISTANBUL;91265
BITLIS;ISTANBUL;90459
ELAZIG;ISTANBUL;89534
SANLIURFA;GAZIANTEP;88511
GUMUSHANE;ISTANBUL;88384
KIRKLARELI;ISTANBUL;87426
ELAZIG;ELAZIG;87366
TEKIRDAG;ISTANBUL;87016
KONYA;IZMIR;82148
MANISA;MANISA;80815
ERZURUM;IZMIR;80442
ADIYAMAN;ISTANBUL;80356
EDIRNE;ISTANBUL;78758
YOZGAT;ISTANBUL;76821
ORDU;ORDU;75757
BINGOL;ISTANBUL;72965
BAYBURT;ISTANBUL;72528
BATMAN;BATMAN;71154
MARDIN;IZMIR;70219
AGRI;ISTANBUL;67859
ZONGULDAK;ISTANBUL;67427
BALIKESIR;ISTANBUL;67207
KAHRAMANMARAS;KAHRAMANMARAS;66780
BURSA;ISTANBUL;66378
ERZURUM;BURSA;65286
SIVAS;SIVAS;64965
VAN;ISTANBUL;64950
KIRIKKALE;KIRIKKALE;63618
AYDIN;IZMIR;61814
TUNCELI;ISTANBUL;61181
KARABUK;ISTANBUL;60991
KAYSERI;ANKARA;60743
ISPARTA;ISPARTA;58827
AFYONKARAHISAR;IZMIR;57676
SANLIURFA;ISTANBUL;57609
BARTIN;ISTANBUL;57590
ANKARA;ISTANBUL;57437
BATMAN;ISTANBUL;56807
MUS;ISTANBUL;56692
ARTVIN;ISTANBUL;56373
KUTAHYA;KUTAHYA;56238
ERZURUM;ANKARA;55979
KAHRAMANMARAS;ISTANBUL;55024
CANAKKALE;ISTANBUL;54694
BOLU;ANKARA;53225
NEVSEHIR;ISTANBUL;51468
OSMANIYE;ADANA;50517
BALIKESIR;IZMIR;49060
NIGDE;ISTANBUL;48763
ADANA;ISTANBUL;48620
KARS;ANKARA;48331
CORUM;CORUM;47580
KARS;IZMIR;47465
HATAY;ISTANBUL;47275
KONYA;ANKARA;47204
AFYONKARAHISAR;AFYONKARAHISAR;46921
IGDIR;ISTANBUL;45743
GAZIANTEP;ISTANBUL;45554
KILIS;GAZIANTEP;45150
TEKIRDAG;TEKIRDAG;44826
SANLIURFA;ADANA;44650
BURDUR;ANTALYA;43869
BOLU;ISTANBUL;43853
CANAKKALE;CANAKKALE;43624
SAMSUN;BURSA;43503
SIVAS;IZMIR;43377
ARTVIN;BURSA;42891
KONYA;ANTALYA;42171
SIVAS;KAYSERI;41771
IZMIR;ISTANBUL;41415
TOKAT;TOKAT;41096
NEVSEHIR;ANKARA;41080
MARDIN;ADANA;40794
SAKARYA;KOCAELI;40656
ERZURUM;KOCAELI;39561
GIRESUN;GIRESUN;39020
KARABUK;KARABUK;38878
KOCAELI;ISTANBUL;38434
TOKAT;ANKARA;38101
DIYARBAKIR;IZMIR;37488
MUGLA;MUGLA;36944
MARDIN;DIYARBAKIR;36861
ESKISEHIR;ISTANBUL;36661
BINGOL;BINGOL;36284
ISPARTA;ISTANBUL;36122
CANKIRI;CANKIRI;36108
ZONGULDAK;ZONGULDAK;36012
AGRI;IZMIR;35732
SAMSUN;ANKARA;35297
USAK;USAK;34298
DENIZLI;IZMIR;34144
AFYONKARAHISAR;ISTANBUL;34060
MERSIN;ADANA;33731
DIYARBAKIR;ADANA;33624
YOZGAT;KAYSERI;33619
EDIRNE;EDIRNE;33337
AFYONKARAHISAR;ESKISEHIR;33055
KAHRAMANMARAS;GAZIANTEP;32533
KUTAHYA;IZMIR;32096
ORDU;ANKARA;32059
TRABZON;KOCAELI;31811
MERSIN;ISTANBUL;31807
DUZCE;ISTANBUL;30922
AFYONKARAHISAR;DENIZLI;30578
DIYARBAKIR;MERSIN;30456
KARS;KOCAELI;30427
KASTAMONU;KASTAMONU;30411
TRABZON;ANKARA;30325
MALATYA;ANKARA;30309
ISPARTA;ANTALYA;29705
ADIYAMAN;ADANA;29626
GIRESUN;KOCAELI;29565
SANLIURFA;MERSIN;29470
MUS;IZMIR;29435
ADANA;MERSIN;29390
ADIYAMAN;ADIYAMAN;28856
BALIKESIR;BURSA;28718
MUS;BURSA;28551
NIGDE;ANKARA;28388
ADIYAMAN;GAZIANTEP;28242
ISTANBUL;ANKARA;27974
ESKISEHIR;ANKARA;27809
RIZE;RIZE;27530
DENIZLI;AYDIN;27504
AMASYA;ANKARA;27465
ANTALYA;ISTANBUL;27407
TRABZON;BURSA;27390
AKSARAY;ANKARA;27362
MANISA;ISTANBUL;27021
KASTAMONU;ANKARA;26906
KIRSEHIR;ISTANBUL;26653
BILECIK;ISTANBUL;26288
USAK;IZMIR;26027
KARAMAN;KONYA;25968
BALIKESIR;MANISA;25952
ISTANBUL;IZMIR;25907
ORDU;SAMSUN;25817
YOZGAT;YOZGAT;25689
ARDAHAN;KOCAELI;25562
TRABZON;SAMSUN;25290
ERZINCAN;ANKARA;25105
TOKAT;IZMIR;25046
OSMANIYE;OSMANIYE;25034
AGRI;AGRI;24824
BOLU;BOLU;24577
DUZCE;DUZCE;24559
KAHRAMANMARAS;OSMANIYE;24390
ELAZIG;ADANA;24199
IZMIR;AYDIN;24138
ADIYAMAN;MERSIN;24096
CORUM;IZMIR;24077
ANKARA;IZMIR;23734
AKSARAY;ISTANBUL;23694
RIZE;ANKARA;23636
MUGLA;IZMIR;23479
ARDAHAN;ANKARA;23081
NIGDE;NIGDE;22842
AMASYA;AMASYA;22725
KIRKLARELI;KIRKLARELI;22686
ADIYAMAN;MALATYA;22233
BILECIK;ESKISEHIR;22167
SANLIURFA;IZMIR;22161
KILIS;ISTANBUL;22110
KIRKLARELI;TEKIRDAG;21862
EDIRNE;TEKIRDAG;21739
MALATYA;IZMIR;21729
KIRSEHIR;KIRSEHIR;21568
KARS;KARS;21517
GUMUSHANE;KOCAELI;21339
ARTVIN;ANKARA;21321
ISTANBUL;KOCAELI;21123
KIRIKKALE;ISTANBUL;20643
SIRNAK;SIRNAK;20582
GUMUSHANE;ANKARA;20235
ELAZIG;MALATYA;20165
ISTANBUL;TEKIRDAG;20109
NEVSEHIR;KAYSERI;19898
KAHRAMANMARAS;ADANA;19778
MARDIN;MERSIN;19694
GIRESUN;BURSA;19689
SIVAS;KOCAELI;19612
SAMSUN;KOCAELI;19417
TRABZON;ZONGULDAK;19338
ORDU;KOCAELI;19228
AGRI;AYDIN;19124
NEVSEHIR;NEVSEHIR;19057
YOZGAT;IZMIR;18862
MALATYA;ADANA;18697
NIGDE;ADANA;18504
ANKARA;ANTALYA;18438
ELAZIG;IZMIR;18246
DENIZLI;ISTANBUL;18222
AGRI;KOCAELI;18125
AFYONKARAHISAR;ANTALYA;18087
ESKISEHIR;IZMIR;18052
ISTANBUL;ANTALYA;17807
BINGOL;DIYARBAKIR;17522
KONYA;AYDIN;17428
SIVAS;ANTALYA;17396
ERZINCAN;ERZINCAN;17380
AKSARAY;KONYA;17361
ERZINCAN;IZMIR;17232
ELAZIG;ANKARA;17144
KAYSERI;ANTALYA;17091
TOKAT;KOCAELI;17078
DIYARBAKIR;BATMAN;17011
SIIRT;ADANA;16986
ARDAHAN;BURSA;16917
SIIRT;BATMAN;16805
KUTAHYA;ISTANBUL;16563
IZMIR;MANISA;16490
MALATYA;MERSIN;16408
ARDAHAN;IZMIR;16329
SAMSUN;IZMIR;16299
HATAY;MERSIN;16239
SIRNAK;MARDIN;16222
OSMANIYE;ISTANBUL;16196
MERSIN;ANKARA;16185
AYDIN;ISTANBUL;16175
BITLIS;MERSIN;16155
BITLIS;IZMIR;16103
HATAY;ADANA;16022
AFYONKARAHISAR;AYDIN;15946
ARTVIN;KOCAELI;15897
KAHRAMANMARAS;ANKARA;15878
AKSARAY;AKSARAY;15812
BITLIS;BITLIS;15801
BURDUR;BURDUR;15708
SIIRT;SIIRT;15702
AMASYA;IZMIR;15606
KARAMAN;ISTANBUL;15605
KARS;BURSA;15537
TUNCELI;ELAZIG;15507
DIYARBAKIR;BURSA;15486
BITLIS;AYDIN;15438
KAHRAMANMARAS;MERSIN;15428
ISPARTA;ANKARA;15368
BILECIK;BILECIK;15354
SIIRT;MERSIN;15344
ADANA;ANKARA;15330
ISPARTA;IZMIR;15298
AFYONKARAHISAR;ANKARA;15199
SINOP;ANKARA;15105
TRABZON;SAKARYA;14909
YALOVA;ISTANBUL;14732
DIYARBAKIR;ANTALYA;14640
KASTAMONU;KOCAELI;14377
TUNCELI;IZMIR;14366
ISTANBUL;BURSA;14314
MUGLA;AYDIN;14304
SINOP;SINOP;14293
CANAKKALE;BALIKESIR;14293
BINGOL;ADANA;14266
RIZE;IZMIR;14203
HATAY;ANTALYA;14177
KAYSERI;IZMIR;14156
BILECIK;BURSA;14026
CANAKKALE;IZMIR;13956
GAZIANTEP;ADANA;13956
ARTVIN;ARTVIN;13955
AYDIN;MUGLA;13906
YOZGAT;BURSA;13891
SAMSUN;TEKIRDAG;13884
BURDUR;DENIZLI;13851
KIRSEHIR;KIRIKKALE;13635
USAK;ISTANBUL;13527
KAHRAMANMARAS;ANTALYA;13508
IZMIR;ANKARA;13504
ORDU;IZMIR;13420
KAYSERI;ADANA;13360
MERSIN;ANTALYA;13323
VAN;IZMIR;13323
GIRESUN;ANKARA;13297
MUS;AYDIN;12952
TRABZON;IZMIR;12833
KUTAHYA;BURSA;12786
ADANA;ANTALYA;12761
SIRNAK;ISTANBUL;12707
GAZIANTEP;MERSIN;12685
SIVAS;BURSA;12680
HATAY;ANKARA;12622
KONYA;BURSA;12574
ERZURUM;AYDIN;12556
BOLU;KOCAELI;12470
CORUM;ANTALYA;12450
KUTAHYA;MANISA;12442
BALIKESIR;ANKARA;12422
MARDIN;SANLIURFA;12397
HAKKARI;VAN;12341
BURSA;IZMIR;12284
HAKKARI;HAKKARI;12151
ADANA;HATAY;12003
NIGDE;IZMIR;12002
DIYARBAKIR;ANKARA;11981
KAHRAMANMARAS;KAYSERI;11862
BINGOL;ELAZIG;11815
DUZCE;KOCAELI;11730
ISTANBUL;MUGLA;11716
ANKARA;BURSA;11578
BURSA;ANKARA;11560
KAYSERI;MERSIN;11486
ISTANBUL;BALIKESIR;11479
SINOP;KOCAELI;11468
KARABUK;ANKARA;11325
TOKAT;BURSA;11296
ESKISEHIR;BURSA;11255
ANKARA;ESKISEHIR;11224
BARTIN;ZONGULDAK;11106
YOZGAT;ANTALYA;11089
KAHRAMANMARAS;HATAY;10984
TUNCELI;TUNCELI;10948
KAHRAMANMARAS;IZMIR;10926
IGDIR;IGDIR;10879
ZONGULDAK;BURSA;10772
KUTAHYA;USAK;10682
AGRI;BURSA;10669
ADANA;IZMIR;10628
SANLIURFA;DIYARBAKIR;10523
OSMANIYE;HATAY;10519
NIGDE;MERSIN;10482
RIZE;KOCAELI;10463
GAZIANTEP;ANTALYA;10283
ANTALYA;IZMIR;10194
MUS;KOCAELI;10188
SAMSUN;AMASYA;10100
ERZURUM;MANISA;10048
SIVAS;MERSIN;9995
KIRSEHIR;IZMIR;9893
KASTAMONU;KARABUK;9887
SIIRT;AYDIN;9860
GAZIANTEP;HATAY;9839
MUS;MANISA;9773
AYDIN;DENIZLI;9769
VAN;ADANA;9662
GAZIANTEP;ANKARA;9628
SANLIURFA;ANKARA;9606
AGRI;KAYSERI;9598
DENIZLI;MUGLA;9598
YALOVA;YALOVA;9577
TOKAT;TEKIRDAG;9521
MARDIN;BATMAN;9493
SINOP;TEKIRDAG;9485
ESKISEHIR;ANTALYA;9485
BURSA;KOCAELI;9468
MARDIN;ANKARA;9466
KARABUK;ZONGULDAK;9384
OSMANIYE;MERSIN;9373
ORDU;TEKIRDAG;9324
BURSA;BALIKESIR;9313
SANLIURFA;ANTALYA;9255
BITLIS;BURSA;9254
ADANA;KAYSERI;9249
BATMAN;ANTALYA;9151
KONYA;ESKISEHIR;9144
MALATYA;ANTALYA;9032
AKSARAY;IZMIR;8944
VAN;MERSIN;8929
AFYONKARAHISAR;ISPARTA;8916
MANISA;AYDIN;8904
SIVAS;ADANA;8900
GUMUSHANE;TRABZON;8890
ELAZIG;BURSA;8879
ESKISEHIR;KOCAELI;8790
SIRNAK;MERSIN;8770
CORUM;BURSA;8761
AMASYA;SAMSUN;8681
MUGLA;ISTANBUL;8654
MUS;MERSIN;8589
IZMIR;MUGLA;8559
ERZURUM;TEKIRDAG;8547
ORDU;BURSA;8513
RIZE;BURSA;8507
KARAMAN;IZMIR;8460
BAYBURT;ANKARA;8456
DUZCE;SAKARYA;8428
NEVSEHIR;IZMIR;8426
AGRI;ANKARA;8390
MERSIN;IZMIR;8367
ELAZIG;MERSIN;8327
KONYA;KARAMAN;8324
MANISA;ANKARA;8294
KUTAHYA;ESKISEHIR;8266
MUS;MUS;8196
GIRESUN;SAMSUN;8185
KARAMAN;ANTALYA;8184
GUMUSHANE;BURSA;8181
GAZIANTEP;IZMIR;8083
USAK;MANISA;8025
BITLIS;ADANA;8016
ADANA;OSMANIYE;7954
KONYA;KOCAELI;7930
HATAY;IZMIR;7921
DENIZLI;ANKARA;7850
ZONGULDAK;ANKARA;7826
SANLIURFA;HATAY;7767
KIRSEHIR;ANTALYA;7758
TEKIRDAG;KIRKLARELI;7721
BATMAN;MARDIN;7684
ERZURUM;SAKARYA;7681
MARDIN;ANTALYA;7666
SANLIURFA;OSMANIYE;7657
BITLIS;MANISA;7650
VAN;ANTALYA;7622
ERZURUM;ANTALYA;7620
ARTVIN;IZMIR;7610
SIRNAK;ADANA;7602
RIZE;SAMSUN;7572
ELAZIG;DIYARBAKIR;7563
AFYONKARAHISAR;KOCAELI;7539
ERZINCAN;KOCAELI;7528
BAYBURT;KOCAELI;7477
TOKAT;ANTALYA;7438
DENIZLI;ANTALYA;7426
BATMAN;DIYARBAKIR;7417
YOZGAT;KIRIKKALE;7384
GUMUSHANE;IZMIR;7337
KARABUK;KOCAELI;7309
BILECIK;KOCAELI;7296
KONYA;MERSIN;7291
ERZINCAN;BURSA;7279
MUGLA;ANTALYA;7242
IZMIR;ANTALYA;7237
ANKARA;AYDIN;7210
ANKARA;KOCAELI;7185
BARTIN;BARTIN;7161
BINGOL;IZMIR;7157
BATMAN;ADANA;7139
KILIS;KILIS;7137
CANAKKALE;BURSA;7105
BATMAN;IZMIR;7095
BITLIS;VAN;7095
NIGDE;BURSA;7095
BALIKESIR;CANAKKALE;7093
SAMSUN;ANTALYA;7047
ANTALYA;ANKARA;7023
IGDIR;IZMIR;6979
ISTANBUL;YALOVA;6967
HATAY;GAZIANTEP;6942
KASTAMONU;ZONGULDAK;6934
TUNCELI;ANKARA;6933
GIRESUN;IZMIR;6907
EDIRNE;BURSA;6860
BARTIN;ANKARA;6845
VAN;BURSA;6838
MALATYA;BURSA;6838
DIYARBAKIR;AYDIN;6836
CANKIRI;KOCAELI;6826
BURDUR;IZMIR;6821
AMASYA;KOCAELI;6808
AGRI;MANISA;6799
KARAMAN;KARAMAN;6756
BAYBURT;BURSA;6746
ANKARA;KONYA;6728
AYDIN;ANKARA;6682
MUS;ADANA;6675
GIRESUN;ORDU;6647
OSMANIYE;ANTALYA;6604
SIVAS;AYDIN;6596
AFYONKARAHISAR;KUTAHYA;6571
KAYSERI;KONYA;6546
ISTANBUL;AYDIN;6540
AFYONKARAHISAR;BURSA;6538
OSMANIYE;ANKARA;6510
SAKARYA;BURSA;6493
EDIRNE;KIRKLARELI;6492
MARDIN;BURSA;6482
DIYARBAKIR;HATAY;6478
ERZURUM;KONYA;6435
VAN;ANKARA;6414
KIRSEHIR;YOZGAT;6409
KOCAELI;SAKARYA;6394
SAKARYA;ANKARA;6393
BURDUR;ISPARTA;6338
KARS;TEKIRDAG;6334
IZMIR;BALIKESIR;6322
KONYA;ADANA;6291
BARTIN;KARABUK;6271
VAN;AYDIN;6268
ZONGULDAK;KOCAELI;6236
MALATYA;GAZIANTEP;6196
ESKISEHIR;BILECIK;6192
ELAZIG;KOCAELI;6186
KIRIKKALE;ANTALYA;6170
ERZINCAN;ANTALYA;6161
ANKARA;KIRIKKALE;6151
KARS;MANISA;6118
MANISA;BALIKESIR;6031
CANKIRI;KARABUK;6007
BALIKESIR;KOCAELI;5984
NIGDE;KONYA;5974
ERZINCAN;AYDIN;5962
AMASYA;BURSA;5958
CORUM;KOCAELI;5949
SAMSUN;ORDU;5946
ELAZIG;ANTALYA;5937
MARDIN;HATAY;5930
MARDIN;MANISA;5920
TUNCELI;BURSA;5867
ARTVIN;SAMSUN;5851
AFYONKARAHISAR;KONYA;5824
TOKAT;SAMSUN;5811
ORDU;ANTALYA;5782
VAN;KOCAELI;5767
KIRIKKALE;IZMIR;5764
SIIRT;GAZIANTEP;5737
AFYONKARAHISAR;MANISA;5735
MANISA;BURSA;5714
SIVAS;TOKAT;5692
USAK;DENIZLI;5678
ERZURUM;KAYSERI;5673
ADIYAMAN;ANTALYA;5669
MERSIN;KONYA;5665
KONYA;MANISA;5649
ISPARTA;AYDIN;5648
NIGDE;ANTALYA;5590
KARAMAN;MERSIN;5576
BURDUR;ISTANBUL;5570
KIRKLARELI;EDIRNE;5545
IZMIR;BURSA;5533
GIRESUN;ZONGULDAK;5499
KARAMAN;ANKARA;5496
DIYARBAKIR;ELAZIG;5492
BITLIS;ANKARA;5441
ERZURUM;YALOVA;5421
TRABZON;TEKIRDAG;5420
OSMANIYE;GAZIANTEP;5380
ISTANBUL;SAKARYA;5361
AGRI;VAN;5358
TRABZON;ANTALYA;5355
DIYARBAKIR;MARDIN;5340
SANLIURFA;BURSA;5310
SIVAS;BALIKESIR;5303
YOZGAT;KOCAELI;5231
ANKARA;MUGLA;5225
EDIRNE;IZMIR;5211
GUMUSHANE;ERZINCAN;5200
SANLIURFA;AYDIN;5170
ARTVIN;RIZE;5166
MALATYA;KOCAELI;5133
DUZCE;BOLU;5095
DIYARBAKIR;MANISA;5092
TEKIRDAG;EDIRNE;5084
KUTAHYA;ANKARA;5077
MUS;ANKARA;5070
MERSIN;KARAMAN;5044
KASTAMONU;IZMIR;5023
KONYA;MUGLA;4987
AMASYA;TOKAT;4901
SINOP;IZMIR;4893
CANAKKALE;TEKIRDAG;4891
BILECIK;ANKARA;4888
AMASYA;CORUM;4884
MALATYA;AYDIN;4862
CORUM;AYDIN;4858
YOZGAT;KIRSEHIR;4836
SIVAS;TEKIRDAG;4804
OSMANIYE;KAHRAMANMARAS;4803
DIYARBAKIR;KOCAELI;4789
KONYA;AKSARAY;4784
ADIYAMAN;IZMIR;4777
SAMSUN;AYDIN;4772
KAYSERI;BURSA;4768
ELAZIG;BINGOL;4766
BATMAN;AYDIN;4762
TRABZON;BALIKESIR;4752
MANISA;USAK;4748
ESKISEHIR;KUTAHYA;4742
CANAKKALE;ANKARA;4718
GAZIANTEP;OSMANIYE;4691
TUNCELI;MERSIN;4665
ADIYAMAN;ANKARA;4657
BINGOL;KOCAELI;4657
ISPARTA;KONYA;4655
VAN;GAZIANTEP;4644
KAYSERI;AYDIN;4640
TRABZON;RIZE;4635
KONYA;AFYONKARAHISAR;4622
SIRNAK;VAN;4618
SIIRT;IZMIR;4614
KIRSEHIR;KAYSERI;4598
MANISA;DENIZLI;4587
ADANA;BURSA;4579
AMASYA;ANTALYA;4546
MANISA;ANTALYA;4525
SIIRT;BURSA;4523
BURSA;YALOVA;4517
NEVSEHIR;ANTALYA;4501
TEKIRDAG;IZMIR;4498
TEKIRDAG;BURSA;4494
AGRI;DENIZLI;4491
SIIRT;ANKARA;4491
BATMAN;MERSIN;4481
VAN;KONYA;4481
ADANA;GAZIANTEP;4473
ERZURUM;BALIKESIR;4462
AGRI;ADANA;4452
ZONGULDAK;ANTALYA;4445
HAKKARI;ISTANBUL;4436
ZONGULDAK;TEKIRDAG;4424
DIYARBAKIR;SANLIURFA;4422
NEVSEHIR;KIRSEHIR;4414
BURSA;ANTALYA;4408
RIZE;TRABZON;4400
ISTANBUL;CANAKKALE;4399
CANKIRI;IZMIR;4370
KUTAHYA;ANTALYA;4356
BITLIS;ANTALYA;4345
ISTANBUL;KIRKLARELI;4340
GUMUSHANE;ANTALYA;4339
GAZIANTEP;KAHRAMANMARAS;4339
BINGOL;BURSA;4336
KARS;AYDIN;4334
SANLIURFA;MARDIN;4332
KIRKLARELI;BURSA;4323
DUZCE;ANKARA;4322
DUZCE;ZONGULDAK;4322
VAN;TEKIRDAG;4315
CANKIRI;ANTALYA;4291
NIGDE;KAYSERI;4283
IGDIR;ANKARA;4277
ERZURUM;ADANA;4275
MUGLA;ANKARA;4269
ORDU;SAKARYA;4249
KOCAELI;BURSA;4247
USAK;ANKARA;4245
MANISA;MUGLA;4219
ZONGULDAK;IZMIR;4208
ADIYAMAN;SANLIURFA;4196
ANTALYA;KONYA;4189
AKSARAY;ANTALYA;4166
MALATYA;HATAY;4165
AGRI;SAKARYA;4160
CORUM;AMASYA;4151
ANKARA;MERSIN;4141
SAKARYA;IZMIR;4130
YOZGAT;AYDIN;4128
BALIKESIR;AYDIN;4118
AGRI;IGDIR;4108
TRABZON;YALOVA;4104
GUMUSHANE;GUMUSHANE;4091
KASTAMONU;TEKIRDAG;4087
KAYSERI;NEVSEHIR;4068
KARS;ERZURUM;4065
BURSA;ESKISEHIR;4055
YALOVA;BURSA;4036
MERSIN;HATAY;4033
YOZGAT;MERSIN;4017
TUNCELI;KOCAELI;4016
ERZURUM;RIZE;4011
KARS;KAYSERI;3995
CORUM;KIRIKKALE;3994
ANKARA;BALIKESIR;3990
ISTANBUL;EDIRNE;3980
NIGDE;KOCAELI;3971
KAHRAMANMARAS;BURSA;3959
KIRSEHIR;BURSA;3955
KOCAELI;IZMIR;3947
ARTVIN;SAKARYA;3919
GIRESUN;SAKARYA;3908
KARS;ANTALYA;3906
BALIKESIR;ANTALYA;3905
ERZURUM;ESKISEHIR;3892
TRABZON;AYDIN;3872
BURDUR;ANKARA;3861
SIVAS;MUGLA;3856
BINGOL;MERSIN;3854
MARDIN;AYDIN;3852
KONYA;ISPARTA;3839
KONYA;DENIZLI;3836
ADANA;KONYA;3835
ADANA;KAHRAMANMARAS;3823
TUNCELI;ADANA;3816
BITLIS;KOCAELI;3803
AYDIN;ANTALYA;3800
SIIRT;MANISA;3793
AGRI;KONYA;3758
HATAY;BURSA;3752
HATAY;OSMANIYE;3751
BOLU;ANTALYA;3744
BAYBURT;IZMIR;3742
SAMSUN;SINOP;3718
ADIYAMAN;AYDIN;3670
GIRESUN;TRABZON;3668
AGRI;ANTALYA;3662
KONYA;TEKIRDAG;3645
ESKISEHIR;BALIKESIR;3637
SIVAS;MALATYA;3615
IZMIR;DENIZLI;3612
TOKAT;AMASYA;3592
KILIS;ADANA;3577
TOKAT;SIVAS;3572
HATAY;MUGLA;3540
TRABZON;GIRESUN;3539
BALIKESIR;TEKIRDAG;3530
SINOP;BURSA;3528
MUS;BITLIS;3524
SAKARYA;DUZCE;3524
MARDIN;KOCAELI;3521
AGRI;MERSIN;3501
MARDIN;KONYA;3487
SIRNAK;GAZIANTEP;3482
KOCAELI;ANKARA;3476
GAZIANTEP;BURSA;3470
KILIS;HATAY;3460
ERZURUM;DENIZLI;3441
YOZGAT;KONYA;3434
ANKARA;CANKIRI;3428
MARDIN;GAZIANTEP;3410
BOLU;SAKARYA;3400
SINOP;SAMSUN;3391
YALOVA;KOCAELI;3375
RIZE;ANTALYA;3361
KAYSERI;KOCAELI;3350
KAYSERI;BALIKESIR;3350
ESKISEHIR;AYDIN;3342
ADANA;MUGLA;3337
AGRI;ESKISEHIR;3332
MALATYA;KAHRAMANMARAS;3325
KIRSEHIR;KOCAELI;3322
GUMUSHANE;SAMSUN;3321
EDIRNE;KOCAELI;3317
ADIYAMAN;KAHRAMANMARAS;3315
KILIS;ANKARA;3297
MUS;TEKIRDAG;3289
AFYONKARAHISAR;MUGLA;3275
TRABZON;DUZCE;3272
KIRSEHIR;AYDIN;3270
CORUM;SAMSUN;3249
ZONGULDAK;BARTIN;3240
BOLU;IZMIR;3240
OSMANIYE;IZMIR;3232
KASTAMONU;BURSA;3222
MALATYA;TEKIRDAG;3220
ERZURUM;MERSIN;3216
ANTALYA;AYDIN;3206
ORDU;GIRESUN;3175
ORDU;ZONGULDAK;3150
AMASYA;TEKIRDAG;3148
EDIRNE;ANKARA;3147
ERZURUM;ERZINCAN;3143
USAK;ANTALYA;3141
DENIZLI;MANISA;3136
VAN;MUGLA;3123
RIZE;YALOVA;3112
CORUM;MUGLA;3095
KIRKLARELI;IZMIR;3091
CANKIRI;ZONGULDAK;3078
ADANA;KOCAELI;3071
SAMSUN;MUGLA;3070
ELAZIG;AYDIN;3070
KIRIKKALE;BURSA;3063
SIIRT;VAN;3060
MALATYA;ADIYAMAN;3056
KASTAMONU;ANTALYA;3049
AGRI;ERZURUM;3047
AKSARAY;BURSA;3042
ARTVIN;ANTALYA;3040
BURDUR;AYDIN;3030
KAHRAMANMARAS;AYDIN;3028
ADANA;AYDIN;3020
ISTANBUL;MERSIN;3015
TEKIRDAG;ANKARA;2998
ISTANBUL;ESKISEHIR;2987
AYDIN;MANISA;2983
KARS;KONYA;2973
ANTALYA;ISPARTA;2970
BINGOL;MALATYA;2969
ORDU;TOKAT;2969
MALATYA;OSMANIYE;2964
ISPARTA;DENIZLI;2962
YOZGAT;TOKAT;2953
SAMSUN;ESKISEHIR;2944
ERZINCAN;TEKIRDAG;2938
SIVAS;MANISA;2927
BARTIN;KOCAELI;2903
TOKAT;AYDIN;2894
MALATYA;ELAZIG;2889
MALATYA;BALIKESIR;2881
SIVAS;KONYA;2880
TUNCELI;ERZINCAN;2875
USAK;AYDIN;2868
MUGLA;DENIZLI;2864
AFYONKARAHISAR;USAK;2864
ORDU;MUGLA;2857
ANKARA;BOLU;2846
KIRKLARELI;ANKARA;2845
KARS;BALIKESIR;2840
ISPARTA;BURDUR;2840
SIIRT;ANTALYA;2838
MALATYA;MANISA;2838
TRABZON;ERZURUM;2836
BILECIK;IZMIR;2831
BINGOL;AYDIN;2830
KAYSERI;MUGLA;2824
SAKARYA;ANTALYA;2821
MERSIN;BURSA;2816
SAMSUN;TRABZON;2814
YOZGAT;MUGLA;2800
ARTVIN;ERZURUM;2796
